,Country_N,Country,Team_Matches_Played,Matches_Won,Points,Rating,Matches_Lost,Matches_Tied,Win_outcome,Matches_With_No_Result,Win/Loss_Ratio,Avg_Runs_Per_Wicket_Batting,Avg_Runs_Per_Six_Balls_Batting,Number_Of_Team_Innings_Batting,Highest_Team_Score_Batting,Lowest_Completed_Score_Batting,Avg_Runs_Per_Wicket_Bowling,Avg_Runs_Per_Six_Balls_Bowling,Number_Of_Team_Innings_Bowling,Highest_Team_Score_Bowling,Lowest_Completed_Score_Bowling,Pos,Matches,Partners,Partnership_Career_Span,Partnership_Career_Start,Partnership_Career_End,Number_Of_Partnerships,Unbroken_Partnerships,Total_Partnership_Runs,Highest_Partnership,Avg_Partnership_Per_Dismissal,Century_Partnerships,Fifty_Runs_And_Over_Partnerships,Margin,Target,Opposition,Ground,Match_Date,Scorecard
20,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, KP Pietersen",2010-2012,2010,2012,10,0,443,111,44.3,1,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
21,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, KP Pietersen",2010-2012,2010,2012,10,0,443,111,44.3,1,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
22,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, KP Pietersen",2010-2012,2010,2012,10,0,443,111,44.3,1,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
23,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, KP Pietersen",2010-2012,2010,2012,10,0,443,111,44.3,1,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
24,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, KP Pietersen",2010-2012,2010,2012,10,0,443,111,44.3,1,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
25,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, EJG Morgan",2012-2016,2012,2016,10,1,375,152,41.66,2,0,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
26,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, EJG Morgan",2012-2016,2012,2016,10,1,375,152,41.66,2,0,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
27,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, EJG Morgan",2012-2016,2012,2016,10,1,375,152,41.66,2,0,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
28,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, EJG Morgan",2012-2016,2012,2016,10,1,375,152,41.66,2,0,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
29,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, EJG Morgan",2012-2016,2012,2016,10,1,375,152,41.66,2,0,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
30,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, KP Pietersen",2007-2011,2007,2011,14,0,370,100,26.42,1,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
31,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, KP Pietersen",2007-2011,2007,2011,14,0,370,100,26.42,1,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
32,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, KP Pietersen",2007-2011,2007,2011,14,0,370,100,26.42,1,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
33,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, KP Pietersen",2007-2011,2007,2011,14,0,370,100,26.42,1,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
34,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, KP Pietersen",2007-2011,2007,2011,14,0,370,100,26.42,1,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
35,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, LJ Wright",2012-2014,2012,2014,14,1,358,69,27.53,0,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
36,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, LJ Wright",2012-2014,2012,2014,14,1,358,69,27.53,0,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
37,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, LJ Wright",2012-2014,2012,2014,14,1,358,69,27.53,0,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
38,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, LJ Wright",2012-2014,2012,2014,14,1,358,69,27.53,0,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
39,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, LJ Wright",2012-2014,2012,2014,14,1,358,69,27.53,0,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
40,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, JE Root",2013-2017,2013,2017,10,1,348,75,38.66,0,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
41,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, JE Root",2013-2017,2013,2017,10,1,348,75,38.66,0,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
42,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, JE Root",2013-2017,2013,2017,10,1,348,75,38.66,0,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
43,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, JE Root",2013-2017,2013,2017,10,1,348,75,38.66,0,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
44,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, JE Root",2013-2017,2013,2017,10,1,348,75,38.66,0,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
45,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, JE Root",2014-2017,2014,2017,11,0,327,64,29.72,0,4,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
46,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, JE Root",2014-2017,2014,2017,11,0,327,64,29.72,0,4,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
47,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, JE Root",2014-2017,2014,2017,11,0,327,64,29.72,0,4,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
48,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, JE Root",2014-2017,2014,2017,11,0,327,64,29.72,0,4,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
49,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, JE Root",2014-2017,2014,2017,11,0,327,64,29.72,0,4,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
50,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, JE Root",2013-2017,2013,2017,15,0,323,83,21.53,0,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
51,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, JE Root",2013-2017,2013,2017,15,0,323,83,21.53,0,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
52,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, JE Root",2013-2017,2013,2017,15,0,323,83,21.53,0,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
53,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, JE Root",2013-2017,2013,2017,15,0,323,83,21.53,0,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
54,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, JE Root",2013-2017,2013,2017,15,0,323,83,21.53,0,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
