"Country_N","Country","Team_Matches_Played","Matches_Won","Points","Rating","Matches_Lost","Matches_Tied","Win_outcome","Avg_Runs_Per_Wicket_Batting","Avg_Runs_Per_Six_Balls_Batting","Highest_Team_Score_Batting","Avg_Runs_Per_Wicket_Bowling","Avg_Runs_Per_Six_Balls_Bowling","Number_Of_Team_Innings_Bowling","Highest_Team_Score_Bowling","Lowest_Completed_Score_Bowling","Partners","Partnership_Career_Span","Number_Of_Partnerships","Unbroken_Partnerships","Total_Partnership_Runs","Highest_Partnership","Avg_Partnership_Per_Dismissal","Century_Partnerships","Fifty_Runs_And_Over_Partnerships","Margin","Target","Opposition","Ground","Match_Date"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"MC Sorensen, SR Thompson","2014-2015",2,1,42,"42*","42",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"MC Sorensen, SR Thompson","2014-2015",2,1,42,"42*","42",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"MC Sorensen, SR Thompson","2014-2015",2,1,42,"42*","42",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, SR Thompson","2015-2016",3,1,41,"21","20.5",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, SR Thompson","2015-2016",3,1,41,"21","20.5",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, SR Thompson","2015-2016",3,1,41,"21","20.5",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, EC Joyce","2012-2012",1,0,39,"39","39",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, EC Joyce","2012-2012",1,0,39,"39","39",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, EC Joyce","2012-2012",1,0,39,"39","39",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, PR Stirling","2015-2016",3,0,38,"16","12.66",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, PR Stirling","2015-2016",3,0,38,"16","12.66",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, PR Stirling","2015-2016",3,0,38,"16","12.66",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, DT Johnston","2009-2012",3,0,38,"18","12.66",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, DT Johnston","2009-2012",3,0,38,"18","12.66",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, DT Johnston","2009-2012",3,0,38,"18","12.66",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR White, GC Wilson","2008-2010",2,1,37,"32","37",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR White, GC Wilson","2008-2010",2,1,37,"32","37",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR White, GC Wilson","2008-2010",2,1,37,"32","37",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, KJ O'Brien","2015-2015",1,0,36,"36","36",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, KJ O'Brien","2015-2015",1,0,36,"36","36",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, KJ O'Brien","2015-2015",1,0,36,"36","36",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, DA Rankin","2015-2015",1,0,35,"35","35",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, DA Rankin","2015-2015",1,0,35,"35","35",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"KJ O'Brien, DA Rankin","2015-2015",1,0,35,"35","35",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"EC Joyce, NJ O'Brien","2012-2012",2,0,32,"22","16",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"EC Joyce, NJ O'Brien","2012-2012",2,0,32,"22","16",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"EC Joyce, NJ O'Brien","2012-2012",2,0,32,"22","16",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AC Botha, WTS Porterfield","2010-2010",1,0,29,"29","29",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AC Botha, WTS Porterfield","2010-2010",1,0,29,"29","29",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AC Botha, WTS Porterfield","2010-2010",1,0,29,"29","29",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, WB Rankin","2016-2016",2,2,29,"27*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, WB Rankin","2016-2016",2,2,29,"27*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, WB Rankin","2016-2016",2,2,29,"27*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"NJ O'Brien, AR White","2008-2009",2,0,29,"28","14.5",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"NJ O'Brien, AR White","2008-2009",2,0,29,"28","14.5",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"NJ O'Brien, AR White","2008-2009",2,0,29,"28","14.5",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TE Kane, KJ O'Brien","2015-2015",1,0,28,"28","28",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TE Kane, KJ O'Brien","2015-2015",1,0,28,"28","28",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"TE Kane, KJ O'Brien","2015-2015",1,0,28,"28","28",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SW Poynter, GC Wilson","2016-2016",1,0,28,"28","28",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
