Country,Country_N,Team_Matches_Played,Points,Rating
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
England,1,96,2029,119
