Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,40+ Wickets Taken,<30.00 Bowling Avg,<8.00 Economy Rate,<25.00 Bowling Strike Rate
Aizaz Khan (2014-2017),23,"463,2",530,28,3/10,18.92,6.85,16.5,0,0,0,0,0,0
Nadeem Ahmed (2014-2017),24,"493,8",546,25,4/21,21.84,6.61,19.8,1,0,0,0,0,0
Haseeb Amjad (2014-2016),18,"367,2",453,24,4/16,18.87,7.38,15.3,1,0,0,0,0,0
Tanwir Afzal (2014-2016),21,426,509,19,2/8,26.78,7.16,22.4,0,0,0,0,0,0
Irfan Ahmed (2014-2015),8,162,190,11,3/11,17.27,7.03,14.7,0,0,0,0,0,0
Ehsan Khan (2016-2017),4,"79,8",89,6,2/17,14.83,6.59,13.5,0,0,0,0,0,0
Anshuman Rath (2015-2017),13,198,264,5,3/6,52.80,8.00,39.6,0,0,0,0,0,0
Nizakat Khan (2014-2017),4,78,69,4,3/19,17.25,5.30,19.5,0,0,0,0,0,0
MS Chapman (2014-2016),4,60,77,3,1/10,25.66,7.70,20.0,0,0,0,0,0,0
Tanveer Ahmed (2016-2017),5,"79,8",116,3,2/29,38.66,8.59,27.0,0,0,0,0,0,0
RJ Campbell (2016-2016),3,60,68,2,2/28,34.00,6.80,30.0,0,0,0,0,0,0
Ehsan Nawaz (2014-2017),5,"44,4",79,2,1/22,39.50,10.30,23.0,0,0,0,0,0,0
Najeeb Amar (2014-2014),1,18,29,1,1/29,29.00,9.66,18.0,0,0,0,0,0,0
A Mehmood (2016-2016),1,6,12,0,-,-,12.00,-,0,0,0,0,0,0
Waqas Barkat (2014-2017),1,6,10,0,-,-,10.00,-,0,0,0,0,0,0
Waqas Khan (2014-2017),1,6,12,0,-,-,12.00,-,0,0,0,0,0,0
Anas Khan (2014-2014),-,,-,-,-,-,-,-,-,-,0,0,0,0
JJ Atkinson (2014-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Babar Hayat (2014-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
C Carter (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Munir Dar (2014-2014),-,,-,-,-,-,-,-,-,-,0,0,0,0
KD Shah (2014-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Shahid Wasif (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
N Vanua (2015-2017),9,"187,2",219,14,3/26,15.64,6.98,13.4,0,0,0,0,0,0
A Vala (2015-2017),6,93,105,7,2/7,15.00,6.63,13.5,0,0,0,0,0,0
JB Reva (2015-2017),6,"102,6",121,6,2/11,20.16,7.04,17.1,0,0,0,0,0,0
CJA Amini (2015-2016),5,"54,6",63,5,2/13,12.60,6.87,11.0,0,0,0,0,0,0
WT Gavera (2015-2017),6,102,113,5,3/17,22.60,6.64,20.4,0,0,0,0,0,0
MD Dai (2015-2017),9,150,157,4,2/13,39.25,6.28,37.5,0,0,0,0,0,0
CA Soper (2015-2017),5,"78,6",70,4,3/13,17.50,5.31,19.7,0,0,0,0,0,0
P Raho (2016-2016),2,18,20,3,3/11,6.66,6.66,6.0,0,0,0,0,0,0
N Pokana (2016-2016),3,30,30,2,1/5,15.00,6.00,15.0,0,0,0,0,0,0
L Nou (2015-2015),3,60,65,1,1/24,65.00,6.50,60.0,0,0,0,0,0,0
S Bau (2016-2017),2,12,18,0,-,-,9.00,-,0,0,0,0,0,0
H Hiri (2016-2016),1,6,5,0,-,-,5.00,-,0,0,0,0,0,0
A Nao (2017-2017),2,30,49,0,-,-,9.80,-,0,0,0,0,0,0
D Bau (2017-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
VV Morea (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
K Pala (2015-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
L Siaka (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
TP Ura (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
JNT Vare (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Shakib Al Hasan (2006-2017),60,1329,1509,73,4/15,20.67,6.80,18.2,3,0,1,1,1,1
Abdur Razzak (2006-2014),33,"728,4",838,44,4/16,19.04,6.88,16.5,1,0,1,1,1,1
Mashrafe Mortaza (2006-2017),53,1137,1527,42,4/19,36.35,8.04,27.1,1,0,1,0,0,0
Al-Amin Hossain (2013-2016),23,"475,2",592,39,3/20,15.17,7.46,12.2,0,0,0,0,0,0
Mustafizur Rahman (2015-2017),17,"391,2",403,27,5/22,14.92,6.16,14.5,1,1,0,0,0,0
Mahmudullah (2007-2017),41,"582,6",703,22,2/5,31.95,7.23,26.5,0,0,0,0,1,0
Rubel Hossain (2009-2017),15,"319,2",509,15,3/31,33.93,9.54,21.3,0,0,0,0,0,0
Arafat Sunny (2014-2016),10,186,230,12,2/17,19.16,7.41,15.5,0,0,0,0,0,0
Taskin Ahmed (2014-2017),15,297,370,10,2/32,37.00,7.42,29.9,0,0,0,0,0,0
Elias Sunny (2012-2012),7,138,146,9,5/13,16.22,6.34,15.3,0,1,0,0,0,0
Mohammad Ashraful (2007-2013),8,138,210,8,3/42,26.25,9.13,17.2,0,0,0,0,0,0
Shafiul Islam (2010-2017),12,"230,4",308,8,2/19,38.50,7.96,29.0,0,0,0,0,0,0
Nasir Hossain (2011-2016),11,177,262,7,2/26,37.42,8.78,25.5,0,0,0,0,0,0
Farhad Reza (2006-2014),11,156,261,6,2/34,43.50,10.03,26.0,0,0,0,0,0,0
Sabbir Rahman (2014-2017),8,"66,6",70,6,3/11,11.66,6.26,11.1,0,0,0,0,0,0
Shahadat Hossain (2006-2013),6,120,198,4,2/22,49.50,9.90,30.0,0,0,0,0,0,0
Sohag Gazi (2012-2015),10,210,299,4,1/28,74.75,8.54,52.5,0,0,0,0,0,0
Syed Rasel (2007-2008),8,174,202,4,1/10,50.50,6.96,43.5,0,0,0,0,0,0
Abu Hider (2016-2016),4,66,102,3,2/40,34.00,9.27,22.0,0,0,0,0,0,0
Mohammad Saifuddin (2017-2017),4,72,120,3,2/53,40.00,10.00,24.0,0,0,0,0,0,0
Naeem Islam (2008-2013),6,90,122,3,2/32,40.66,8.13,30.0,0,0,0,0,0,0
Ziaur Rahman (2012-2014),7,"73,8",127,3,1/16,42.33,10.16,25.0,0,0,0,0,0,0
Abul Hasan (2012-2012),4,66,108,2,2/33,54.00,9.81,33.0,0,0,0,0,0,0
Alok Kapali (2007-2011),2,30,35,2,2/12,17.50,7.00,15.0,0,0,0,0,0,0
Jubair Hossain (2015-2015),1,12,20,2,2/20,10.00,10.00,6.0,0,0,0,0,0,0
Mehidy Hasan Miraz (2017-2017),3,60,92,2,2/31,46.00,9.20,30.0,0,0,0,0,0,0
Mosaddek Hossain (2016-2017),5,"62,4",75,2,1/22,37.50,7.03,32.0,0,0,0,0,0,0
Shuvagata Hom (2016-2016),4,66,71,2,1/18,35.50,6.45,33.0,0,0,0,0,0,0
Mohammad Rafique (2006-2006),1,24,22,1,1/22,22.00,5.50,24.0,0,0,0,0,0,0
Mohammad Shahid (2016-2016),1,18,32,1,1/32,32.00,10.66,18.0,0,0,0,0,0,0
Nazmul Hossain (2009-2012),4,42,67,1,1/15,67.00,9.57,42.0,0,0,0,0,0,0
Aftab Ahmed (2006-2010),1,"1,2",8,0,-,-,24.00,-,0,0,0,0,0,0
Mehrab Hossain jnr (2008-2009),1,15,20,0,-,-,7.05,-,0,0,0,0,0,0
Mominul Haque (2012-2014),2,18,32,0,-,-,10.66,-,0,0,0,0,0,0
Muktar Ali (2016-2016),1,12,17,0,-,-,8.50,-,0,0,0,0,0,0
Robiul Islam (2013-2013),1,6,13,0,-,-,13.00,-,0,0,0,0,0,0
Sajedul Islam (2013-2013),1,6,15,0,-,-,15.00,-,0,0,0,0,0,0
Saqlain Sajib (2016-2016),1,"19,8",40,0,-,-,11.42,-,0,0,0,0,0,0
Soumya Sarkar (2015-2017),3,18,49,0,-,-,16.33,-,0,0,0,0,0,0
Suhrawadi Shuvo (2010-2010),1,6,12,0,-,-,12.00,-,0,0,0,0,0,0
Anamul Haque (2012-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
Dhiman Ghosh (2008-2008),-,,-,-,-,-,-,-,-,-,0,0,0,0
Imrul Kayes (2010-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Jahurul Islam (2010-2013),-,,-,-,-,-,-,-,-,-,0,0,0,0
Junaid Siddique (2007-2012),-,,-,-,-,-,-,-,-,-,0,0,0,0
Liton Das (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Mohammad Mithun (2014-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Mushfiqur Rahim (2006-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Nadif Chowdhury (2006-2007),-,,-,-,-,-,-,-,-,-,0,0,0,0
Nazimuddin (2007-2008),-,,-,-,-,-,-,-,-,-,0,0,0,0
Nazmus Sadat (2006-2006),-,,-,-,-,-,-,-,-,-,0,0,0,0
Nurul Hasan (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Raqibul Hasan (2008-2010),-,,-,-,-,-,-,-,-,-,0,0,0,0
Rony Talukdar (2015-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
Shahriar Nafees (2006-2006),-,,-,-,-,-,-,-,-,-,0,0,0,0
Shamsur Rahman (2013-2014),-,,-,-,-,-,-,-,-,-,0,0,0,0
Tamim Iqbal (2007-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Amjad Javed (2014-2017),22,"445,2",560,33,3/12,16.96,7.53,13.5,0,0,0,0,0,0
Mohammad Naveed (2015-2017),22,"494,4",501,29,3/14,17.27,6.06,17.1,0,0,0,0,0,0
Rohan Mustafa (2014-2017),22,"362,4",436,19,3/9,22.94,7.18,19.1,0,0,0,0,0,0
Mohammad Shahzad (2015-2017),19,"288,6",411,13,3/34,31.61,8.53,22.2,0,0,0,0,0,0
Ahmed Raza (2014-2017),20,"421,2",462,12,2/18,38.50,6.56,35.1,0,0,0,0,0,0
Qadeer Ahmed (2015-2016),8,144,185,6,2/25,30.83,7.70,24.0,0,0,0,0,0,0
AM Guruge (2014-2015),5,96,125,5,2/18,25.00,7.81,19.2,0,0,0,0,0,0
Imran Haider (2016-2017),5,102,128,5,1/16,25.60,7.52,20.4,0,0,0,0,0,0
