Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
HD Rutherford (2013-2013),7,1,1,0,0,1,1 (1ct 0st),0.142
L Vincent (2006-2007),9,1,1,0,0,1,1 (1ct 0st),0.111
BM Wheeler (2017-2017),4,1,1,0,0,1,1 (1ct 0st),0.250
LJ Woodcock (2010-2011),3,1,1,0,0,1,1 (1ct 0st),0.333
GH Worker (2015-2015),2,1,1,0,0,1,1 (1ct 0st),0.500
MD Bates (2012-2012),3,0,0,0,0,0,0,0.000
TA Blundell (2017-2017),1,0,0,0,0,0,0,0.000
BJ Diamanti (2009-2009),1,0,0,0,0,0,0,0.000
AM Ellis (2012-2013),5,0,0,0,0,0,0,0.000
LH Ferguson (2017-2017),1,0,0,0,0,0,0,0.000
PA Hitchcock (2008-2008),1,0,0,0,0,0,0,0.000
AJ McKay (2010-2010),2,0,0,0,0,0,0,0.000
JAH Marshall (2005-2008),3,0,0,0,0,0,0,0.000
MJ Mason (2006-2008),3,0,0,0,0,0,0,0.000
HM Nicholls (2016-2017),4,0,0,0,0,0,0,0.000
"IE O'Brien (2009-2009)",4,0,0,0,0,0,0,0.000
MS Sinclair (2005-2007),2,0,0,0,0,0,0,0.000
EP Thompson (2008-2008),1,0,0,0,0,0,0,0.000
DR Tuffey (2005-2010),3,0,0,0,0,0,0,0.000
JW Wilson (2005-2005),1,0,0,0,0,0,0,0.000
MS Dhoni (2006-2017),82,70,45,25,45,0,4 (4ct 0st),0.853
SK Raina (2006-2017),65,32,32,0,0,32,3 (3ct 0st),0.492
V Kohli (2010-2017),55,27,27,0,0,27,3 (3ct 0st),0.490
RG Sharma (2007-2017),68,25,25,0,0,25,3 (3ct 0st),0.367
RA Jadeja (2009-2017),40,18,18,0,0,18,2 (2ct 0st),0.450
AM Rahane (2011-2016),20,16,16,0,0,16,4 (4ct 0st),0.800
HH Pandya (2016-2017),24,13,13,0,0,13,1 (1ct 0st),0.541
Yuvraj Singh (2007-2017),57,12,12,0,0,12,2 (2ct 0st),0.210
G Gambhir (2007-2012),36,11,11,0,0,11,2 (2ct 0st),0.305
YK Pathan (2007-2012),22,9,9,0,0,9,2 (2ct 0st),0.409
R Ashwin (2010-2017),46,8,8,0,0,8,1 (1ct 0st),0.173
S Dhawan (2011-2017),28,7,7,0,0,7,2 (2ct 0st),0.250
Harbhajan Singh (2006-2016),27,7,7,0,0,7,2 (2ct 0st),0.259
KD Karthik (2006-2017),9,7,5,2,0,5,3 (1ct 2st),0.777
JJ Bumrah (2016-2017),30,4,4,0,0,4,1 (1ct 0st),0.133
A Nehra (2009-2017),27,4,4,0,0,4,1 (1ct 0st),0.148
AR Patel (2015-2017),10,4,4,0,0,4,2 (2ct 0st),0.400
AT Rayudu (2014-2016),6,4,4,0,0,4,2 (2ct 0st),0.666
I Sharma (2008-2013),14,4,4,0,0,4,1 (1ct 0st),0.285
B Kumar (2012-2017),23,3,3,0,0,3,1 (1ct 0st),0.130
M Vijay (2010-2015),9,3,3,0,0,3,1 (1ct 0st),0.333
YS Chahal (2016-2017),12,2,2,0,0,2,2 (2ct 0st),0.166
PP Chawla (2010-2012),7,2,2,0,0,2,2 (2ct 0st),0.285
R Dhawan (2016-2016),1,2,2,0,0,2,2 (2ct 0st),2.000
Joginder Sharma (2007-2007),4,2,2,0,0,2,1 (1ct 0st),0.500
Z Khan (2006-2012),17,2,2,0,0,2,1 (1ct 0st),0.117
P Negi (2016-2016),1,2,2,0,0,2,2 (2ct 0st),2.000
IK Pathan (2006-2012),23,2,2,0,0,2,1 (1ct 0st),0.086
V Sehwag (2006-2012),18,2,2,0,0,2,1 (1ct 0st),0.111
RP Singh (2007-2009),9,2,2,0,0,2,1 (1ct 0st),0.222
S Sreesanth (2006-2008),9,2,2,0,0,2,2 (2ct 0st),0.222
MK Tiwary (2011-2012),3,2,2,0,0,2,2 (2ct 0st),0.666
RV Uthappa (2007-2015),12,2,2,0,1,1,1 (1ct 0st),0.166
AB Dinda (2009-2012),9,1,1,0,0,1,1 (1ct 0st),0.111
SS Iyer (2017-2017),3,1,1,0,0,1,1 (1ct 0st),0.333
KM Jadhav (2015-2017),9,1,1,0,0,1,1 (1ct 0st),0.111
P Kumar (2008-2012),10,1,1,0,0,1,1 (1ct 0st),0.100
Mandeep Singh (2016-2016),3,1,1,0,0,1,1 (1ct 0st),0.333
A Mishra (2010-2017),10,1,1,0,0,1,1 (1ct 0st),0.100
D Mongia (2006-2006),1,1,1,0,0,1,1 (1ct 0st),1.000
PP Ojha (2009-2010),6,1,1,0,0,1,1 (1ct 0st),0.166
MK Pandey (2015-2017),12,1,1,0,0,1,1 (1ct 0st),0.083
RR Pant (2017-2017),2,1,1,0,0,1,1 (1ct 0st),0.500
PA Patel (2011-2011),2,1,1,0,1,0,1 (1ct 0st),0.500
KL Rahul (2016-2017),9,1,1,0,0,1,1 (1ct 0st),0.111
SV Samson (2015-2015),1,1,1,0,0,1,1 (1ct 0st),1.000
MM Sharma (2014-2015),8,1,1,0,0,1,1 (1ct 0st),0.125
SR Tendulkar (2006-2006),1,1,1,0,0,1,1 (1ct 0st),1.000
S Tyagi (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
R Vinay Kumar (2010-2013),9,1,1,0,0,1,1 (1ct 0st),0.111
AB Agarkar (2006-2007),3,0,0,0,0,0,0,0.000
S Aravind (2015-2015),1,0,0,0,0,0,0,0.000
P Awana (2012-2012),2,0,0,0,0,0,0,0.000
S Badrinath (2011-2011),1,0,0,0,0,0,0,0.000
L Balaji (2012-2012),5,0,0,0,0,0,0,0.000
STR Binny (2015-2016),3,0,0,0,0,0,0,0.000
R Dravid (2011-2011),1,0,0,0,0,0,0,0.000
M Kartik (2007-2007),1,0,0,0,0,0,0,0.000
Kuldeep Yadav (2017-2017),5,0,0,0,0,0,0,0.000
DS Kulkarni (2016-2016),2,0,0,0,0,0,0,0.000
Mohammed Shami (2014-2017),7,0,0,0,0,0,0,0.000
Mohammed Siraj (2017-2017),1,0,0,0,0,0,0,0.000
NV Ojha (2010-2010),2,0,0,0,0,0,0,0.000
Parvez Rasool (2017-2017),1,0,0,0,0,0,0,0.000
MM Patel (2011-2011),3,0,0,0,0,0,0,0.000
Sandeep Sharma (2015-2015),2,0,0,0,0,0,0,0.000
KV Sharma (2014-2014),1,0,0,0,0,0,0,0.000
R Sharma (2012-2012),2,0,0,0,0,0,0,0.000
BB Sran (2016-2016),2,0,0,0,0,0,0,0.000
JD Unadkat (2016-2016),1,0,0,0,0,0,0,0.000
UT Yadav (2012-2012),1,0,0,0,0,0,0,0.000
Kamran Akmal (2006-2017),58,60,28,32,28,0,4 (0ct 4st),1.034
Umar Akmal (2009-2016),82,51,49,2,11,38,3 (3ct 0st),0.621
Shoaib Malik (2006-2017),92,37,37,0,0,37,2 (2ct 0st),0.402
Shahid Afridi (2006-2016),98,30,30,0,0,30,3 (3ct 0st),0.306
Mohammad Hafeez (2006-2017),81,24,24,0,0,24,2 (2ct 0st),0.296
Sarfraz Ahmed (2010-2017),35,22,17,5,17,0,3 (3ct 0st),0.628
Umar Gul (2007-2016),60,18,18,0,0,18,2 (2ct 0st),0.300
Ahmed Shehzad (2009-2017),53,14,14,0,0,14,2 (2ct 0st),0.264
Misbah-ul-Haq (2007-2012),39,14,14,0,0,14,2 (2ct 0st),0.358
Saeed Ajmal (2009-2015),64,12,12,0,0,12,2 (2ct 0st),0.187
Younis Khan (2006-2010),25,12,12,0,0,12,2 (2ct 0st),0.480
Imran Nazir (2007-2012),25,11,11,0,0,11,2 (2ct 0st),0.440
Imad Wasim (2015-2017),25,10,10,0,0,10,2 (2ct 0st),0.400
Fawad Alam (2007-2010),24,7,7,0,0,7,2 (2ct 0st),0.291
Sohail Tanvir (2007-2017),57,7,7,0,0,7,1 (1ct 0st),0.122
Abdur Rehman (2007-2013),8,6,6,0,0,6,2 (2ct 0st),0.750
Babar Azam (2016-2017),14,6,6,0,0,6,2 (2ct 0st),0.428
Nasir Jamshed (2012-2013),18,6,6,0,0,6,2 (2ct 0st),0.333
Anwar Ali (2008-2016),16,5,5,0,0,5,2 (2ct 0st),0.312
Sharjeel Khan (2013-2016),15,5,5,0,0,5,2 (2ct 0st),0.333
Wahab Riaz (2008-2017),27,5,5,0,0,5,1 (1ct 0st),0.185
Khalid Latif (2008-2016),13,4,4,0,0,4,1 (1ct 0st),0.307
Mohammad Amir (2009-2017),32,4,4,0,0,4,1 (1ct 0st),0.125
Sohaib Maqsood (2013-2016),20,4,4,0,0,4,1 (1ct 0st),0.200
Yasir Shah (2011-2011),2,4,4,0,0,4,3 (3ct 0st),2.000
Asad Shafiq (2010-2012),10,3,3,0,0,3,1 (1ct 0st),0.300
Hasan Ali (2016-2017),12,3,3,0,0,3,1 (1ct 0st),0.250
Imran Farhat (2010-2011),7,3,3,0,0,3,1 (1ct 0st),0.428
Imran Khan (1) (2015-2015),3,3,3,0,0,3,2 (2ct 0st),1.000
Mohammad Asif (2006-2010),11,3,3,0,0,3,1 (1ct 0st),0.272
Mohammad Nawaz (3) (2016-2017),7,3,3,0,0,3,1 (1ct 0st),0.428
Mohammad Rizwan (2015-2016),10,3,2,1,2,0,2 (2ct 0st),0.300
Mohammad Sami (2010-2016),13,3,3,0,0,3,1 (1ct 0st),0.230
Salman Butt (2007-2010),24,3,3,0,0,3,1 (1ct 0st),0.125
Shahzaib Hasan (2009-2010),10,3,3,0,0,3,2 (2ct 0st),0.300
Umar Amin (2013-2017),11,3,3,0,0,3,1 (1ct 0st),0.272
Abdul Razzaq (2006-2013),32,2,2,0,0,2,1 (1ct 0st),0.062
Hammad Azam (2012-2013),5,2,2,0,0,2,1 (1ct 0st),0.400
Mansoor Amjad (2008-2008),1,2,2,0,0,2,2 (2ct 0st),2.000
Mohammad Salman (2011-2011),1,2,1,1,1,0,2 (1ct 1st),2.000
Mukhtar Ahmed (2015-2015),6,2,2,0,0,2,1 (1ct 0st),0.333
Naved-ul-Hasan (2006-2010),4,2,2,0,0,2,1 (1ct 0st),0.500
Raza Hasan (2012-2014),10,2,2,0,0,2,1 (1ct 0st),0.200
Shadab Khan (2017-2017),10,2,2,0,0,2,1 (1ct 0st),0.200
Shakeel Ansar (2012-2012),2,2,1,1,1,0,2 (1ct 1st),1.000
Shoaib Akhtar (2006-2010),15,2,2,0,0,2,1 (1ct 0st),0.133
Bilawal Bhatti (2013-2015),9,1,1,0,0,1,1 (1ct 0st),0.111
Faheem Ashraf (2017-2017),4,1,1,0,0,1,1 (1ct 0st),0.250
Fakhar Zaman (2017-2017),9,1,1,0,0,1,1 (1ct 0st),0.111
Haris Sohail (2013-2015),4,1,1,0,0,1,1 (1ct 0st),0.250
Mohammad Irfan (2012-2016),20,1,1,0,0,1,1 (1ct 0st),0.050
Mohammad Yousuf (2006-2010),3,1,1,0,0,1,1 (1ct 0st),0.333
Rumman Raees (2016-2017),5,1,1,0,0,1,1 (1ct 0st),0.200
Saad Nasim (2014-2014),3,1,1,0,0,1,1 (1ct 0st),0.333
Shoaib Khan jnr (2008-2008),4,1,1,0,0,1,1 (1ct 0st),0.250
Usman Khan (2013-2017),6,1,1,0,0,1,1 (1ct 0st),0.166
Yasir Arafat (2007-2012),13,1,1,0,0,1,1 (1ct 0st),0.076
Zulfiqar Babar (2013-2014),7,1,1,0,0,1,1 (1ct 0st),0.142
Zulqarnain Haider (2007-2010),3,1,0,1,0,0,1 (0ct 1st),0.333
Aamer Yamin (2015-2015),1,0,0,0,0,0,0,0.000
Abdur Rauf (2008-2008),1,0,0,0,0,0,0,0.000
Aizaz Cheema (2011-2012),5,0,0,0,0,0,0,0.000
Asad Ali (2013-2013),2,0,0,0,0,0,0,0.000
Awais Zia (2012-2014),5,0,0,0,0,0,0,0.000
Iftikhar Ahmed (2016-2016),1,0,0,0,0,0,0,0.000
Iftikhar Anjum (2007-2009),2,0,0,0,0,0,0,0.000
Inzamam-ul-Haq (2006-2006),1,0,0,0,0,0,0,0.000
Junaid Khan (2011-2014),9,0,0,0,0,0,0,0.000
Khurram Manzoor (2016-2016),3,0,0,0,0,0,0,0.000
Nauman Anwar (2015-2015),1,0,0,0,0,0,0,0.000
Rafatullah Mohmand (2015-2015),3,0,0,0,0,0,0,0.000
Rameez Raja (2) (2011-2011),2,0,0,0,0,0,0,0.000
Shabbir Ahmed (2007-2007),1,0,0,0,0,0,0,0.000
Sohail Khan (2008-2017),5,0,0,0,0,0,0,0.000
Tanvir Ahmed (2010-2010),1,0,0,0,0,0,0,0.000
KC Sangakkara (2006-2014),56,45,25,20,25,0,3 (2ct 1st),0.803
TM Dilshan (2006-2016),80,33,31,2,5,26,2 (2ct 0st),0.412
LD Chandimal (2010-2017),48,32,28,4,12,16,4 (4ct 0st),0.666
AD Mathews (2009-2017),69,23,23,0,0,23,2 (2ct 0st),0.333
NLTC Perera (2010-2017),60,21,21,0,0,21,2 (2ct 0st),0.350
SL Malinga (2006-2017),68,18,18,0,0,18,2 (2ct 0st),0.264
DPMD Jayawardene (2006-2014),55,17,17,0,0,17,2 (2ct 0st),0.309
CK Kapugedera (2006-2017),43,17,17,0,0,17,3 (3ct 0st),0.395
KMDN Kulasekara (2008-2017),58,17,17,0,0,17,2 (2ct 0st),0.293
J Mubarak (2007-2009),16,9,9,0,0,9,2 (2ct 0st),0.562
MDKJ Perera (2013-2017),27,9,7,2,2,5,2 (1ct 1st),0.333
HDRL Thirimanne (2012-2016),26,8,8,0,0,8,1 (1ct 0st),0.307
BAW Mendis (2008-2014),39,6,6,0,0,6,1 (1ct 0st),0.153
TAM Siriwardana (2015-2017),22,6,6,0,0,6,2 (2ct 0st),0.272
PVD Chameera (2015-2016),13,5,5,0,0,5,2 (2ct 0st),0.384
DAS Gunaratne (2016-2017),9,5,5,0,0,5,2 (2ct 0st),0.555
LPC Silva (2006-2011),16,5,5,0,0,5,1 (1ct 0st),0.312
ST Jayasuriya (2006-2011),31,4,4,0,0,4,1 (1ct 0st),0.129
SHT Kandamby (2008-2011),5,4,4,0,0,4,2 (2ct 0st),0.800
BMAJ Mendis (2011-2013),16,4,4,0,0,4,2 (2ct 0st),0.250
S Prasanna (2013-2017),20,4,4,0,0,4,2 (2ct 0st),0.200
K Weeraratne (2008-2009),5,4,4,0,0,4,2 (2ct 0st),0.800
N Dickwella (2016-2017),9,3,3,0,3,0,2 (2ct 0st),0.333
CRD Fernando (2006-2016),18,3,3,0,0,3,1 (1ct 0st),0.166
MD Gunathilaka (2016-2017),8,3,3,0,0,3,1 (1ct 0st),0.375
RAS Lakmal (2011-2017),9,3,3,0,0,3,1 (1ct 0st),0.333
S Samarawickrama (2017-2017),3,3,2,1,2,0,2 (1ct 1st),1.000
SMSM Senanayake (2012-2016),24,3,3,0,0,3,1 (1ct 0st),0.125
MD Shanaka (2015-2017),16,3,3,0,0,3,2 (2ct 0st),0.187
DM de Silva (2015-2017),7,2,2,0,0,2,1 (1ct 0st),0.285
GSNFG Jayasuriya (2015-2016),11,2,2,0,0,2,1 (1ct 0st),0.181
HGJM Kulatunga (2008-2008),2,2,2,0,0,2,2 (2ct 0st),1.000
MF Maharoof (2006-2016),8,2,2,0,0,2,1 (1ct 0st),0.250
PADLR Sandakan (2017-2017),3,2,2,0,0,2,1 (1ct 0st),0.666
WU Tharanga (2006-2017),17,2,2,0,0,2,1 (1ct 0st),0.117
T Thushara (2008-2010),6,2,2,0,0,2,1 (1ct 0st),0.333
HMCM Bandara (2006-2009),4,1,1,0,0,1,1 (1ct 0st),0.250
A Dananjaya (2012-2017),6,1,1,0,0,1,1 (1ct 0st),0.166
SI de Saram (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
PC de Silva (2017-2017),1,1,1,0,0,1,1 (1ct 0st),1.000
RMS Eranga (2012-2013),3,1,1,0,0,1,1 (1ct 0st),0.333
KS Lokuarachchi (2012-2012),2,1,1,0,0,1,1 (1ct 0st),0.500
EMDY Munaweera (2012-2017),13,1,1,0,0,1,1 (1ct 0st),0.076
M Muralitharan (2006-2010),12,1,1,0,0,1,1 (1ct 0st),0.083
AK Perera (2013-2014),2,1,1,0,0,1,1 (1ct 0st),0.500
M Pushpakumara (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
RJMGM Rupasinghe (2009-2009),2,1,1,0,0,1,1 (1ct 0st),0.500
JRMVB Sanjaya (2017-2017),8,1,1,0,0,1,1 (1ct 0st),0.125
I Udana (2009-2017),13,1,1,0,0,1,1 (1ct 0st),0.076
JDF Vandersay (2015-2016),7,1,1,0,0,1,1 (1ct 0st),0.142
KDK Vithanage (2014-2016),3,1,1,0,0,1,1 (1ct 0st),0.333
RP Arnold (2006-2006),1,0,0,0,0,0,0,0.000
MS Atapattu (2006-2006),2,0,0,0,0,0,0,0.000
KMC Bandara (2016-2016),1,0,0,0,0,0,0,0.000
ST de Silva (2017-2017),3,0,0,0,0,0,0,0.000
LHD Dilhara (2008-2008),2,0,0,0,0,0,0,0.000
N Pradeep (2016-2017),2,0,0,0,0,0,0,0.000
B Fernando (2015-2015),2,0,0,0,0,0,0,0.000
HMRKB Herath (2011-2016),17,0,0,0,0,0,0,0.000
CU Jayasinghe (2009-2010),5,0,0,0,0,0,0,0.000
S Randiv (2010-2011),7,0,0,0,0,0,0,0.000
BKG Mendis (2016-2017),8,0,0,0,0,0,0,0.000
SS Pathirana (2016-2017),5,0,0,0,0,0,0,0.000
MDK Perera (2011-2011),3,0,0,0,0,0,0,0.000
PDRL Perera (2006-2006),2,0,0,0,0,0,0,0.000
KTGD Prasad (2011-2011),1,0,0,0,0,0,0,0.000
SMA Priyanjan (2017-2017),3,0,0,0,0,0,0,0.000
CAK Rajitha (2016-2016),3,0,0,0,0,0,0,0.000
RLB Rambukwella (2013-2016),2,0,0,0,0,0,0,0.000
ML Udawatte (2008-2017),8,0,0,0,0,0,0,0.000
WPUJC Vaas (2006-2007),6,0,0,0,0,0,0,0.000
UWMBCA Welegedara (2010-2010),2,0,0,0,0,0,0,0.000
G Wijekoon (2007-2007),3,0,0,0,0,0,0,0.000
E Chigumbura (2006-2016),47,18,18,0,0,18,2 (2ct 0st),0.382
H Masakadza (2006-2016),50,16,16,0,0,16,2 (2ct 0st),0.320
Sikandar Raza (2013-2016),26,16,16,0,0,16,2 (2ct 0st),0.615
V Sibanda (2007-2016),26,12,12,0,0,12,3 (3ct 0st),0.461
T Taibu (2007-2012),17,11,6,5,6,0,3 (0ct 3st),0.647
BRM Taylor (2006-2014),26,11,10,1,8,2,2 (2ct 0st),0.423
R Mutumbami (2015-2016),14,10,7,3,5,2,4 (1ct 3st),0.714
SC Williams (2006-2016),24,10,10,0,0,10,2 (2ct 0st),0.416
CJ Chibhabha (2006-2016),30,8,8,0,0,8,2 (2ct 0st),0.266
CR Ervine (2010-2015),16,8,8,0,0,8,2 (2ct 0st),0.500
MN Waller (2011-2016),28,8,8,0,0,8,1 (1ct 0st),0.285
AG Cremer (2008-2016),27,6,6,0,0,6,1 (1ct 0st),0.222
P Utseya (2006-2015),35,6,6,0,0,6,1 (1ct 0st),0.171
S Matsikenyeri (2006-2012),10,5,5,0,0,5,2 (2ct 0st),0.500
LM Jongwe (2015-2016),8,4,4,0,0,4,2 (2ct 0st),0.500
T Maruma (2008-2016),10,4,4,0,0,4,1 (1ct 0st),0.400
PJ Moor (2016-2016),8,3,3,0,0,3,2 (2ct 0st),0.375
CB Mpofu (2008-2015),20,3,3,0,0,3,2 (2ct 0st),0.150
RW Price (2008-2012),16,3,3,0,0,3,1 (1ct 0st),0.187
GB Brent (2006-2007),3,2,2,0,0,2,2 (2ct 0st),0.666
TL Chatara (2010-2016),11,2,2,0,0,2,1 (1ct 0st),0.181
CK Coventry (2010-2015),13,2,2,0,1,1,1 (1ct 0st),0.153
KM Dabengwa (2006-2010),8,2,2,0,0,2,1 (1ct 0st),0.250
SW Masakadza (2010-2013),7,2,2,0,0,2,1 (1ct 0st),0.285
T Panyangara (2013-2016),14,2,2,0,0,2,1 (1ct 0st),0.142
DT Tiripano (2016-2016),8,2,2,0,0,2,1 (1ct 0st),0.250
BV Vitori (2012-2016),11,2,2,0,0,2,1 (1ct 0st),0.181
N Madziva (2015-2016),9,1,1,0,0,1,1 (1ct 0st),0.111
KO Meth (2012-2012),2,1,1,0,0,1,1 (1ct 0st),0.500
"N M'shangwe (2013-2014)",5,1,1,0,0,1,1 (1ct 0st),0.200
CT Mutombodzi (2013-2016),5,1,1,0,0,1,1 (1ct 0st),0.200
T Muzarabani (2015-2016),9,1,1,0,0,1,1 (1ct 0st),0.111
C Zhuwao (2008-2011),5,1,1,0,0,1,1 (1ct 0st),0.200
AM Blignaut (2010-2010),1,0,0,0,0,0,0,0.000
RW Chakabva (2008-2015),5,0,0,0,0,0,0,0.000
TS Chisoro (2015-2016),7,0,0,0,0,0,0,0.000
AJ Ireland (2006-2006),1,0,0,0,0,0,0,0.000
KM Jarvis (2011-2013),9,0,0,0,0,0,0,0.000
TP Kamungozi (2014-2014),1,0,0,0,0,0,0,0.000
GA Lamb (2010-2010),5,0,0,0,0,0,0,0.000
WP Masakadza (2015-2016),7,0,0,0,0,0,0,0.000
T Mupariwa (2007-2008),4,0,0,0,0,0,0,0.000
F Mutizwa (2011-2012),3,0,0,0,0,0,0,0.000
ML Nkala (2006-2006),1,0,0,0,0,0,0,0.000
EC Rainsford (2010-2010),2,0,0,0,0,0,0,0.000
PW Borren (2008-2017),41,28,28,0,0,28,4 (4ct 0st),0.682
W Barresi (2012-2017),34,27,26,1,26,0,4 (4ct 0st),0.794
PM Seelaar (2008-2017),38,17,17,0,0,17,2 (2ct 0st),0.447
BN Cooper (2013-2017),25,14,14,0,0,14,2 (2ct 0st),0.560
Ahsan Malik (2012-2017),30,13,13,0,0,13,2 (2ct 0st),0.433
Mudassar Bukhari (2008-2016),36,9,9,0,0,9,2 (2ct 0st),0.250
MR Swart (2012-2016),26,7,7,0,0,7,1 (1ct 0st),0.269
TLW Cooper (2012-2016),17,6,6,0,0,6,2 (2ct 0st),0.352
RE van der Merwe (2015-2017),10,6,6,0,0,6,2 (2ct 0st),0.600
E Schiferli (2008-2010),6,5,5,0,0,5,1 (1ct 0st),0.833
TN de Grooth (2008-2013),14,4,4,0,0,4,2 (2ct 0st),0.285
TGJ Gruijters (2012-2013),8,4,4,0,0,4,2 (2ct 0st),0.500
AN Kervezee (2009-2012),10,4,4,0,0,4,2 (2ct 0st),0.400
SJ Myburgh (2012-2017),27,4,4,0,0,4,1 (1ct 0st),0.148
MJG Rippon (2013-2017),17,4,4,0,0,4,1 (1ct 0st),0.235
ES Szwarczynski (2008-2013),13,4,4,0,0,4,2 (2ct 0st),0.307
DLS van Bunge (2008-2013),13,4,4,0,0,4,2 (2ct 0st),0.307
PA van Meekeren (2013-2017),17,4,4,0,0,4,1 (1ct 0st),0.235
"MP O'Dowd (2015-2017)",8,3,3,0,0,3,1 (1ct 0st),0.375
RN ten Doeschate (2008-2010),9,3,3,0,0,3,1 (1ct 0st),0.333
LV van Beek (2014-2016),8,3,3,0,0,3,1 (1ct 0st),0.375
AF Buurman (2010-2010),4,2,1,1,1,0,2 (1ct 1st),0.500
MBS Jonkman (2010-2010),3,2,2,0,0,2,2 (2ct 0st),0.666
DJ Reekers (2008-2009),5,2,2,0,0,2,1 (1ct 0st),0.400
Sikander Zulfiqar (2016-2016),2,2,2,0,0,2,2 (2ct 0st),1.000
T van der Gugten (2012-2017),24,2,2,0,0,2,1 (1ct 0st),0.083
B Zuiderent (2009-2010),6,2,2,0,0,2,1 (1ct 0st),0.333
Mohammad Kashif (2010-2010),3,1,1,0,0,1,1 (1ct 0st),0.333
HJC Mol (2008-2008),3,1,1,0,0,1,1 (1ct 0st),0.333
J Smits (2008-2009),5,1,1,0,1,0,1 (1ct 0st),0.200
MB van Schelven (2015-2015),2,1,1,0,0,1,1 (1ct 0st),0.500
RI Ahmed (2015-2015),2,0,0,0,0,0,0,0.000
VJ Kingma (2016-2016),1,0,0,0,0,0,0,0.000
DP Nannes (2009-2009),2,0,0,0,0,0,0,0.000
TP Visee (2015-2017),4,0,0,0,0,0,0,0.000
GMC Mol (2008-2008),-,-,-,-,-,-,-,-
JD Schoonheim (2008-2008),-,-,-,-,-,-,-,-
Babar Hayat (2014-2017),24,16,16,0,0,16,4 (4ct 0st),0.666
JJ Atkinson (2014-2016),13,14,14,0,14,0,3 (3ct 0st),1.076
Nadeem Ahmed (2014-2017),24,12,12,0,0,12,2 (2ct 0st),0.500
Nizakat Khan (2014-2017),23,8,8,0,0,8,2 (2ct 0st),0.347
Aizaz Khan (2014-2017),23,7,7,0,0,7,2 (2ct 0st),0.304
Anshuman Rath (2015-2017),20,6,6,0,0,6,1 (1ct 0st),0.300
Waqas Barkat (2014-2017),11,5,5,0,0,5,2 (2ct 0st),0.454
MS Chapman (2014-2016),19,4,4,0,0,4,2 (2ct 0st),0.210
Tanwir Afzal (2014-2016),21,4,4,0,0,4,1 (1ct 0st),0.190
C Carter (2015-2017),10,3,2,1,2,0,1 (1ct 0st),0.300
KD Shah (2014-2016),15,3,3,0,0,3,2 (2ct 0st),0.200
Haseeb Amjad (2014-2016),18,2,2,0,0,2,1 (1ct 0st),0.111
Irfan Ahmed (2014-2015),8,2,2,0,0,2,1 (1ct 0st),0.250
RJ Campbell (2016-2016),3,1,1,0,0,1,1 (1ct 0st),0.333
Ehsan Khan (2016-2017),4,1,1,0,0,1,1 (1ct 0st),0.250
Munir Dar (2014-2014),2,1,1,0,0,1,1 (1ct 0st),0.500
Shahid Wasif (2016-2017),4,1,1,0,0,1,1 (1ct 0st),0.250
Tanveer Ahmed (2016-2017),5,1,1,0,0,1,1 (1ct 0st),0.200
Anas Khan (2014-2014),1,0,0,0,0,0,0,0.000
Ehsan Nawaz (2014-2017),5,0,0,0,0,0,0,0.000
A Mehmood (2016-2016),2,0,0,0,0,0,0,0.000
Najeeb Amar (2014-2014),1,0,0,0,0,0,0,0.000
Waqas Khan (2014-2017),8,0,0,0,0,0,0,0.000
A Vala (2015-2017),9,7,7,0,0,7,3 (3ct 0st),0.777
L Siaka (2015-2017),9,6,6,0,0,6,3 (3ct 0st),0.666
JNT Vare (2015-2017),8,6,4,2,4,0,3 (3ct 0st),0.750
MD Dai (2015-2017),9,5,5,0,0,5,2 (2ct 0st),0.555
N Vanua (2015-2017),9,4,4,0,0,4,1 (1ct 0st),0.444
S Bau (2016-2017),6,3,3,0,0,3,2 (2ct 0st),0.500
CJA Amini (2015-2016),6,2,2,0,0,2,1 (1ct 0st),0.333
WT Gavera (2015-2017),6,1,1,0,0,1,1 (1ct 0st),0.166
K Pala (2015-2015),2,1,1,0,0,1,1 (1ct 0st),0.500
CA Soper (2015-2017),5,1,1,0,0,1,1 (1ct 0st),0.200
D Bau (2017-2017),1,0,0,0,0,0,0,0.000
H Hiri (2016-2016),2,0,0,0,0,0,0,0.000
VV Morea (2015-2017),5,0,0,0,0,0,0,0.000
A Nao (2017-2017),2,0,0,0,0,0,0,0.000
L Nou (2015-2015),3,0,0,0,0,0,0,0.000
N Pokana (2016-2016),3,0,0,0,0,0,0,0.000
P Raho (2016-2016),2,0,0,0,0,0,0,0.000
JB Reva (2015-2017),6,0,0,0,0,0,0,0.000
TP Ura (2015-2017),6,0,0,0,0,0,0,0.000
Mushfiqur Rahim (2006-2017),59,47,23,24,22,1,3 (1ct 2st),0.796
Mahmudullah (2007-2017),58,23,23,0,0,23,2 (2ct 0st),0.396
Shakib Al Hasan (2006-2017),60,17,17,0,0,17,2 (2ct 0st),0.283
Sabbir Rahman (2014-2017),32,16,16,0,0,16,3 (3ct 0st),0.500
