,Country,Team_Matches_Played,Matches_Won,Matches_Lost,Matches_Tied,Matches_With_No_Result,Win/Loss_Ratio,Avg_Runs_Per_Wicket_Batting,Avg_Runs_Per_Six_Balls_Batting,Number_Of_Team_Innings_Batting,Highest_Team_Score_Batting,Lowest_Completed_Score_Batting,Avg_Runs_Per_Wicket_Bowling,Avg_Runs_Per_Six_Balls_Bowling,Number_Of_Team_Innings_Bowling,Highest_Team_Score_Bowling,Lowest_Completed_Score_Bowling,Pos,Matches,Points,Rating,Partners,Partnership_Career_Span,Partnership_Career_Start,Partnership_Career_End,Number_Of_Partnerships,Unbroken_Partnerships,Total_Partnership_Runs,Highest_Partnership,Avg_Partnership_Per_Dismissal,Century_Partnerships,Fifty_Runs_And_Over_Partnerships,Margin,Target,Opposition,Ground,Match_Date,Scorecard
0,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, MJ Lumb",2012-2014,2012.0,2014.0,18,1,705,143*,41.47,2,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
1,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, MJ Lumb",2012-2014,2012.0,2014.0,18,1,705,143*,41.47,2,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
2,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, MJ Lumb",2012-2014,2012.0,2014.0,18,1,705,143*,41.47,2,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
3,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, MJ Lumb",2012-2014,2012.0,2014.0,18,1,705,143*,41.47,2,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
4,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, MJ Lumb",2012-2014,2012.0,2014.0,18,1,705,143*,41.47,2,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
5,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, EJG Morgan",2012-2017,2012.0,2017.0,18,4,541,114*,38.64,1,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
6,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, EJG Morgan",2012-2017,2012.0,2017.0,18,4,541,114*,38.64,1,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
7,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, EJG Morgan",2012-2017,2012.0,2017.0,18,4,541,114*,38.64,1,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
8,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, EJG Morgan",2012-2017,2012.0,2017.0,18,4,541,114*,38.64,1,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
9,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, EJG Morgan",2012-2017,2012.0,2017.0,18,4,541,114*,38.64,1,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
10,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, LJ Wright",2009-2013,2009.0,2013.0,15,0,467,95,31.13,0,4,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
11,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, LJ Wright",2009-2013,2009.0,2013.0,15,0,467,95,31.13,0,4,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
12,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, LJ Wright",2009-2013,2009.0,2013.0,15,0,467,95,31.13,0,4,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
13,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, LJ Wright",2009-2013,2009.0,2013.0,15,0,467,95,31.13,0,4,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
14,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, LJ Wright",2009-2013,2009.0,2013.0,15,0,467,95,31.13,0,4,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
15,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JJ Roy",2014-2017,2014.0,2017.0,16,0,449,82,28.06,0,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
16,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JJ Roy",2014-2017,2014.0,2017.0,16,0,449,82,28.06,0,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
17,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JJ Roy",2014-2017,2014.0,2017.0,16,0,449,82,28.06,0,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
18,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JJ Roy",2014-2017,2014.0,2017.0,16,0,449,82,28.06,0,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
19,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JJ Roy",2014-2017,2014.0,2017.0,16,0,449,82,28.06,0,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
20,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"C Kieswetter, KP Pietersen",2010-2012,2010.0,2012.0,10,0,443,111,44.30,1,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
21,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"C Kieswetter, KP Pietersen",2010-2012,2010.0,2012.0,10,0,443,111,44.30,1,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
22,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"C Kieswetter, KP Pietersen",2010-2012,2010.0,2012.0,10,0,443,111,44.30,1,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
23,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"C Kieswetter, KP Pietersen",2010-2012,2010.0,2012.0,10,0,443,111,44.30,1,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
24,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"C Kieswetter, KP Pietersen",2010-2012,2010.0,2012.0,10,0,443,111,44.30,1,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
25,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, EJG Morgan",2012-2016,2012.0,2016.0,10,1,375,152,41.66,2,0,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
26,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, EJG Morgan",2012-2016,2012.0,2016.0,10,1,375,152,41.66,2,0,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
27,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, EJG Morgan",2012-2016,2012.0,2016.0,10,1,375,152,41.66,2,0,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
28,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, EJG Morgan",2012-2016,2012.0,2016.0,10,1,375,152,41.66,2,0,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
29,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, EJG Morgan",2012-2016,2012.0,2016.0,10,1,375,152,41.66,2,0,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
30,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"PD Collingwood, KP Pietersen",2007-2011,2007.0,2011.0,14,0,370,100,26.42,1,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
31,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"PD Collingwood, KP Pietersen",2007-2011,2007.0,2011.0,14,0,370,100,26.42,1,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
32,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"PD Collingwood, KP Pietersen",2007-2011,2007.0,2011.0,14,0,370,100,26.42,1,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
33,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"PD Collingwood, KP Pietersen",2007-2011,2007.0,2011.0,14,0,370,100,26.42,1,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
34,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"PD Collingwood, KP Pietersen",2007-2011,2007.0,2011.0,14,0,370,100,26.42,1,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
35,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, LJ Wright",2012-2014,2012.0,2014.0,14,1,358,69,27.53,0,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
36,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, LJ Wright",2012-2014,2012.0,2014.0,14,1,358,69,27.53,0,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
37,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, LJ Wright",2012-2014,2012.0,2014.0,14,1,358,69,27.53,0,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
38,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, LJ Wright",2012-2014,2012.0,2014.0,14,1,358,69,27.53,0,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
39,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, LJ Wright",2012-2014,2012.0,2014.0,14,1,358,69,27.53,0,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
40,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, JE Root",2013-2017,2013.0,2017.0,10,1,348,75,38.66,0,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
41,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, JE Root",2013-2017,2013.0,2017.0,10,1,348,75,38.66,0,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
42,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, JE Root",2013-2017,2013.0,2017.0,10,1,348,75,38.66,0,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
43,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, JE Root",2013-2017,2013.0,2017.0,10,1,348,75,38.66,0,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
44,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"JC Buttler, JE Root",2013-2017,2013.0,2017.0,10,1,348,75,38.66,0,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
45,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JE Root",2014-2017,2014.0,2017.0,11,0,327,64,29.72,0,4,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
46,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JE Root",2014-2017,2014.0,2017.0,11,0,327,64,29.72,0,4,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
47,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JE Root",2014-2017,2014.0,2017.0,11,0,327,64,29.72,0,4,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
48,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JE Root",2014-2017,2014.0,2017.0,11,0,327,64,29.72,0,4,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
49,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"AD Hales, JE Root",2014-2017,2014.0,2017.0,11,0,327,64,29.72,0,4,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
50,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, JE Root",2013-2017,2013.0,2017.0,15,0,323,83,21.53,0,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
51,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, JE Root",2013-2017,2013.0,2017.0,15,0,323,83,21.53,0,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
52,England,96,46,45,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"2,029",119,"EJG Morgan, JE Root",2013-2017,2013.0,2017.0,15,0,323,83,21.53,0,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
